Name,Type,Sources,Categories,Country_HQ,Industry,Stock_Symbol,Prisons,Occupations,Borders,Divestment_Shortlist,Involvement_Types
El-Far Electronics Systems,company,who_profits,occupation_involvement,,,,,,,,Settlement Enterprise|Israeli Construction on Occupied Land|Services to the Settlements|The Wall and Checkpoints|Specialized Equipment and Services|Population Control
Elbit Systems,brand,boycott.thewitness|investigate_afsc,consumer_boycott|occupations|borders|divestment_shortlist,Israel,Aerospace & Defense,ESLT,,Yes,Yes,Yes,
Elco Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Conglomerates,ELCO,,Yes,,Yes,
Electra Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Engineering & Construction,ELTR,,Yes,,Yes,
Elevance Health Inc,company,investigate_afsc,prisons,USA,Healthcare Plans,ELV,Yes,,,,
Energix-Renewable Energies Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Utilities - Regulated Electric,ENRG,,Yes,,Yes,
Enjoy Life,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Enlight Renewable Energy Ltd,company,investigate_afsc,occupations,Israel,Utilities - Regulated Electric,ENLT,,Yes,,,
Equifax Inc,company,investigate_afsc,borders,USA,Consulting Services,EFX,,,Yes,,
Espresso House,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Estee Lauder,brand,boycott.thewitness,consumer_boycott,,,,,,,,
eToro,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Evian,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Expedia Group Inc,company,investigate_afsc,occupations,USA,Leisure,EXPE,,Yes,,,
Export Investment Corp Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Banks - Regional - Asia,EXPO,,Yes,,Yes,
Express VPN,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Exxon Mobil Corp,company,investigate_afsc,occupations,USA,Oil & Gas Integrated,XOM,,Yes,,,
F I B I Holding Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Banks - Regional - Asia,FIBIH,,Yes,,Yes,
Facebook,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Fairfax Financial Holdings Ltd,company,investigate_afsc,prisons,Canada,Insurance - Property & Casualty,FFH,Yes,,,,
Fairlife,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Fairy,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Fanta,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Febreze,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Felix,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Fendi,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Fenty Beauty by Rihanna,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Ferrero,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Ferrero Rocher,brand,boycott.thewitness,consumer_boycott,,,,,,,,
First Horizon Corp,company,investigate_afsc,prisons|borders,USA,Banks-Regional,FHN,Yes,,Yes,,
First International Bank of Israel Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Banks-Regional,FIBI,,Yes,,Yes,
First Solar Inc,company,investigate_afsc,occupations,USA,Solar,FSLR,,Yes,,,
Fiverr,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Flash,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Foot Locker Inc,company,investigate_afsc,occupations,USA,Apparel Retail,FL,,Yes,,,
Ford Motor Co,company,investigate_afsc,prisons|occupations|borders,USA,Auto Manufacturers,F,Yes,Yes,Yes,,
Formula Systems (1985) Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Information Technology Services,FORTY,,Yes,,Yes,
Fosun International Ltd,company,investigate_afsc,occupations,China,Insurance - Diversified,656,,Yes,,,
Fox-Wizel Ltd,company,investigate_afsc,occupations,Israel,Apparel Manufacturing,FOX,,Yes,,,
Fuzetea,brand,boycott.thewitness,consumer_boycott,,,,,,,,
G1 Secure Solutions Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Security & Protection Services,GOSS,,Yes,,Yes,
G4S,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Game Fuel,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Garnier,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Gatorade,brand,boycott.thewitness,consumer_boycott,,,,,,,,
GE Aerospace,company,investigate_afsc,occupations|divestment_shortlist,USA,Diversified Industrials,GE,,Yes,,Yes,
Genasys Inc,company,investigate_afsc,occupations|divestment_shortlist,USA,Scientific & Technical Instruments,GNSS,,Yes,,Yes,
General Dynamics Corp,company,investigate_afsc,occupations|borders|divestment_shortlist,USA,Aerospace & Defense,GD,,Yes,Yes,Yes,
General Motors Co,company,investigate_afsc,prisons|occupations|borders,USA,Auto Manufacturers,GM,Yes,Yes,Yes,,
Gillette,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Giorgio Armani Beauty,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Givenchy,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Glaceau Smartwater,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Google,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Granite Construction Inc,company,investigate_afsc,borders|divestment_shortlist,USA,Engineering & Construction,GVA,,,Yes,Yes,
Grenade,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Hadiklaim,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Hadiklaim - Israel Date Growers Cooperativeהדקל,company,who_profits,occupation_involvement,,,,,,,,Settlement Enterprise|Settlement Production
Halls,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Hamat Group Ltd,company,investigate_afsc,occupations,Israel,Home Improvement Stores,HAMAT,,Yes,,,
Hangzhou Hik-Vision Digital Technology Co Ltd,company,investigate_afsc,occupations,China,Computer Hardware,2415,,Yes,,,
Harel Insurance Investments & Financial Services Ltd,company,investigate_afsc,occupations,Israel,Insurance-Diversified,HARL,,Yes,,,
HD Hyundai,company,investigate_afsc,occupations,South Korea,Oil & Gas Refining & Marketing,267250,,Yes,,,
HD Hyundai Heavy Industries,company,investigate_afsc,occupations,South Korea,Aerospace & Defense,329180,,Yes,,,
HD Korea Shipbuilding & Offshore Engineering,company,investigate_afsc,occupations,South Korea,Specialty Industrial Machinery,9540,,Yes,,,
Head and Shoulders,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Heidelberg Materials AG,company,investigate_afsc,occupations|divestment_shortlist,Germany,Building Materials,HEI,,Yes,,Yes,
Hellman's,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Herbal Essences,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Hewlett Packard Enterprise (HPE),company,who_profits,occupation_involvement,,,,,,,,Specialized Equipment and Services|Population Control
Hewlett Packard Enterprise Co,company,investigate_afsc,occupations,USA,Communication Equipment,HPE,,Yes,,,
Hilan Ltd,company,investigate_afsc,occupations,Israel,Information Technology Services,HLAN,,Yes,,,
Hitachi Construction Machinery Co Ltd,company,investigate_afsc,occupations,Japan,Farm & Construction Equipment,6305,,Yes,,,
Hitachi Ltd,company,investigate_afsc,occupations,Japan,Information Technology Services,6501,,Yes,,,
Honda Motor Co Ltd,company,investigate_afsc,borders,Japan,Auto Manufacturers,7267,,,Yes,,
Honeywell International Inc,company,investigate_afsc,occupations|divestment_shortlist,USA,Conglomerates,HON,,Yes,,Yes,
Hotel Chocolat,brand,boycott.thewitness,consumer_boycott,,,,,,,,
HP,brand,boycott.thewitness,consumer_boycott,,,,,,,,
HSBC,brand,boycott.thewitness|investigate_afsc,consumer_boycott|prisons|borders,UK,Banks-Diversified,HSBA,Yes,,Yes,,
Hubba Bubba,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Hublot,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Hyundai,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Hyundai Doosan Infracore Co Ltd,company,investigate_afsc,occupations,South Korea,Farm & Construction Equipment,42670,,Yes,,,
IAMS,brand,boycott.thewitness,consumer_boycott,,,,,,,,
ICL Group Ltd,company,investigate_afsc,occupations,Israel,Agricultural Inputs,ICL,,Yes,,,
Il Makiage,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Indigo Books,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Innocent Smoothies,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Instagram,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Intel,brand,boycott.thewitness,consumer_boycott,,,,,,,,
International Business Machines Corp,company,investigate_afsc,occupations|divestment_shortlist,USA,Information Technology Services,IBM,,Yes,,Yes,
Internet Gold-Golden Lines Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Telecom Services,IGLD-M,,Yes,,Yes,
Israel Discount Bank Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Banks - Regional - Asia,DSCT,,Yes,,Yes,
IT Cosmetics,brand,boycott.thewitness,consumer_boycott,,,,,,,,
JA Solar Technology Co Ltd,company,investigate_afsc,occupations,China,Solar,2459,,Yes,,,
Jaguar,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Jain Irrigation Systems Ltd,company,investigate_afsc,occupations,India,Farm & Heavy Construction Machinery,500219,,Yes,,,
Jo Malone,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Juicy Fruit,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Kardan NV,company,investigate_afsc,occupations|divestment_shortlist,Netherlands,Real Estate - General,KRNV-M,,Yes,,Yes,
Kayak,brand,boycott.thewitness,consumer_boycott,,,,,,,,
KBR Inc,company,investigate_afsc,borders|divestment_shortlist,USA,Engineering & Construction,KBR,,,Yes,Yes,
Kenzo,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Kerastase,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Keter,brand,boycott.thewitness,consumer_boycott,,,,,,,,
KFC,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Kiehl's,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Kilian,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Kinder,brand,boycott.thewitness,consumer_boycott,,,,,,,,
King Solomon,brand,boycott.thewitness,consumer_boycott,,,,,,,,
KitKat,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Knorr,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Kongsberg Gruppen ASA,company,investigate_afsc,occupations|divestment_shortlist,Norway,,KOG,,Yes,,Yes,
Krispy Kreme,brand,boycott.thewitness,consumer_boycott,,,,,,,,
KurKure,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Kylie Cosmetics,brand,boycott.thewitness,consumer_boycott,,,,,,,,
L3Harris Technologies Inc,company,investigate_afsc,occupations|borders|divestment_shortlist,USA,Communication Equipment,LHX,,Yes,Yes,Yes,
La Mer,brand,boycott.thewitness,consumer_boycott,,,,,,,,
La Roche-Posay,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Lab Series,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Labour party,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Lancome,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Land Rover (Range Rover),brand,boycott.thewitness,consumer_boycott,,,,,,,,
Lapidoth Capital Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Oil & Gas E&P,LAPD,,Yes,,Yes,
Lavazza,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Lay's,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Legal & General,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Leidos Holdings Inc,company,investigate_afsc,borders|divestment_shortlist,USA,Information Technology Services,LDOS,,,Yes,Yes,
Lenor,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Leonardo DRS Inc,company,investigate_afsc,occupations|divestment_shortlist,USA,Aerospace & Defense,DRS,,Yes,,Yes,
Leonardo SpA,company,investigate_afsc,occupations|divestment_shortlist,Italy,Aerospace & Defense,LDO,,Yes,,Yes,
Lesico Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Engineering & Construction,LSCO,,Yes,,Yes,
Liberty TripAdvisor Holdings Inc,company,investigate_afsc,occupations,USA,Internet Content & Information,LTRPA,,Yes,,,
Lidl,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Lion,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Lipton,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Lipton Iced Tea,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Lloyds Bank,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Lockheed Martin,brand,boycott.thewitness|investigate_afsc,consumer_boycott|occupations|borders|divestment_shortlist,USA,Aerospace & Defense,LMT,,Yes,Yes,Yes,
Loewe,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Loreal / L'oreal,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Louis Vuitton,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Lux,brand,boycott.thewitness,consumer_boycott,,,,,,,,
LVMH,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Lynx,brand,boycott.thewitness,consumer_boycott,,,,,,,,
M&M's,brand,boycott.thewitness,consumer_boycott,,,,,,,,
MAC Cosmetics,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Magen David Adom,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Maggi,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Magnum Ice Creams,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Maison Francis Kurkdjian,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Maison Margiela Fragrances,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Malam-Team Ltd,company,investigate_afsc,occupations,Israel,Information Technology Services,MLTM,,Yes,,,
Malteasers,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Manitou BF SA,company,investigate_afsc,occupations,France,Diversified Industrials,MTU,,Yes,,,
Marc Jacobs,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Marks and Spencer / M&S,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Mars,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Matrix IT Ltd,company,investigate_afsc,occupations,Israel,Information Technology Services,MTRX,,Yes,,,
Maybelline,brand,boycott.thewitness,consumer_boycott,,,,,,,,
MBDA,brand,boycott.thewitness,consumer_boycott,,,,,,,,
McDonalds,brand,boycott.thewitness|investigate_afsc,consumer_boycott|prisons,USA,Restaurants,MCD,Yes,,,,
Mega Or Holdings Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Real Estate Services,MGOR,,Yes,,Yes,
Mehadrin Ltd,company,investigate_afsc,occupations,Israel,Farm Products,MEDN,,Yes,,,
Menora Mivtachim Holdings Ltd,company,investigate_afsc,occupations,Israel,Insurance-Diversified,MMHD,,Yes,,,
Mercedes Benz,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Mercedes-Benz Group AG,company,investigate_afsc,occupations,Germany,,MBG,,Yes,,,
Meta,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Meta Platforms Inc,company,investigate_afsc,occupations,USA,Internet Content & Information,META,,Yes,,,
Micro Systemation AB,company,investigate_afsc,prisons|borders,Sweden,Software-Application,MSAB B,Yes,,Yes,,
Microsoft,brand,boycott.thewitness|investigate_afsc,consumer_boycott|prisons|occupations|borders,USA,Software - Infrastructure,MSFT,Yes,Yes,Yes,,
Migdal Insurance & Financial Holdings Ltd,company,investigate_afsc,occupations,Israel,Insurance-Life,MGDL,,Yes,,,
Mikado,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Milka,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Milky Way,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Milkybar,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Minerals Technologies Inc,company,investigate_afsc,occupations,USA,Chemicals,MTX,,Yes,,,
Minute Maid,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Mirinda,brand,boycott.thewitness,consumer_boycott,,,,,,,,
MITIE Group PLC,company,investigate_afsc,prisons|divestment_shortlist,UK,Business Services,MTO,Yes,,,Yes,
Mitsubishi Corp,company,investigate_afsc,occupations,Japan,Conglomerates,8058,,Yes,,,
Mitsubishi Motors Corp,company,investigate_afsc,occupations,Japan,Auto Manufacturers,7211,,Yes,,,
Mivne Real Estate (K.D) Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Real Estate Services,MVNE,,Yes,,Yes,
Mizrahi Tefahot Bank Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Banks - Regional - Asia,MZTF,,Yes,,Yes,
ModivCare Inc,company,investigate_afsc,prisons,USA,Medical Care Facilities,MODV,Yes,,,,
Monday.com,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Mondelez,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Monster Energy,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Moovit,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Mordechai Aviv Taasiot Beniyah (1973) Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Engineering & Construction,AVIV,,Yes,,Yes,
MoroccanOil,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Motorola,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Motorola Solutions Inc,company,investigate_afsc,prisons|occupations|borders|divestment_shortlist,USA,Communication Equipment,MSI,Yes,Yes,Yes,Yes,
Mountain Dew,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Movenpick,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Mugler Beauty,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Natuzzi SPA,company,investigate_afsc,occupations,Italy,"Furnishings, Fixtures & Appliances",NTZ,,Yes,,,
NEC Corp,company,investigate_afsc,borders,Japan,Information Technology Services,6701,,,Yes,,
Nescafe,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Nespresso,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Nesquik,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Nestle,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Next,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Nextcom Ltd,company,investigate_afsc,occupations,Israel,Telecom Services,NXTM,,Yes,,,
NICE Ltd,company,investigate_afsc,prisons|divestment_shortlist,Israel,Software-Application,NICE,Yes,,,Yes,
NIOD,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Noon.com,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Northrop Grumman Corp,company,investigate_afsc,occupations|borders|divestment_shortlist,USA,Aerospace & Defense,NOC,,Yes,Yes,Yes,
Nutella,brand,boycott.thewitness,consumer_boycott,,,,,,,,
