Fund Name (AS CITED),EARNEST PARTNERS SMALL CAP VALUE
Internal Name,Earnest Partners SC Value (EPL-S)
Restricted y/n,y
Ammount of companies in fund (restricted),59
Filing Date (restricted),"Dec 30, 2023"
Source,https://www.morganstanley.com/content/dam/msdotcom/en/wealth-investmentsolutions/pdfs/uma/epl-s.pdf
Note:,
Restricted Data:,
Company,Index Weight
"Houlihan Lokey, Inc. Class A ",0.036
Parsons Corporation ,0.029
"Franklin Electric Co., Inc. ",0.028
"Casella Waste Systems, Inc. Class A ",0.027
"FormFactor, Inc. ",0.026